Panjang_Daun;Lebar_Daun;Warna_Hijau;Tekstur;Spesies
13.0;4.16;83;Kasar;Kasetsart
17.61;7.18;70;Halus;Kasetsart
15.86;5.57;67;Kasar;Thailand
14.79;6.54;79;Halus;Kasetsart
11.25;8.54;94;Kasar;Thailand
11.25;5.25;84;Halus;Kasetsart
10.46;6.05;94;Halus;Thailand
16.93;7.78;84;Halus;Kasetsart
14.81;5.14;88;Halus;Gajah
15.66;4.38;77;Halus;Kasetsart
10.16;5.45;77;Kasar;Kasetsart
17.76;4.81;61;Kasar;Gajah
16.66;8.65;94;Halus;Kasetsart
11.7;8.04;75;Halus;Gajah
11.45;7.17;92;Halus;Kasetsart
11.47;8.36;63;Kasar;Thailand
12.43;8.02;92;Halus;Thailand
14.2;4.93;73;Halus;Kasetsart
13.46;8.46;80;Halus;Kasetsart
12.33;6.7;79;Halus;Kasetsart
14.89;8.04;67;Halus;Thailand
11.12;8.48;66;Halus;Kasetsart
12.34;5.59;62;Kasar;Thailand
12.93;4.55;76;Halus;Gajah
13.65;5.14;92;Halus;Thailand
16.28;6.14;71;Halus;Thailand
11.6;8.09;81;Halus;Gajah
14.11;8.3;81;Kasar;Thailand
14.74;4.03;89;Halus;Kasetsart
10.37;6.55;67;Halus;Kasetsart
14.86;6.09;86;Halus;Thailand
11.36;5.11;86;Halus;Kasetsart
10.52;4.6;93;Kasar;Thailand
17.59;5.69;80;Halus;Kasetsart
17.73;8.71;89;Halus;Kasetsart
16.47;5.62;92;Halus;Thailand
12.44;6.59;87;Halus;Kasetsart
10.78;7.52;92;Halus;Thailand
15.47;5.82;64;Halus;Kasetsart
13.52;8.86;78;Halus;Kasetsart
10.98;8.81;63;Halus;Gajah
13.96;5.26;94;Kasar;Gajah
10.28;6.49;76;Halus;Thailand
17.27;5.5;87;Halus;Gajah
12.07;5.42;89;Kasar;Thailand
15.3;4.18;88;Kasar;Gajah
12.49;7.05;65;Halus;Kasetsart
14.16;6.51;94;Halus;Thailand
14.37;4.26;83;Halus;Thailand
11.48;5.39;88;Halus;Kasetsart
17.76;8.54;90;Kasar;Thailand
16.2;5.2;94;Kasar;Thailand
17.52;4.72;92;Halus;Gajah
17.16;6.45;80;Halus;Thailand
14.78;8.93;91;Kasar;Kasetsart
17.37;5.21;82;Halus;Gajah
10.71;7.36;92;Halus;Gajah
11.57;7.81;62;Halus;Kasetsart
10.36;5.19;77;Halus;Kasetsart
12.6;7.64;84;Kasar;Gajah
13.11;5.84;90;Kasar;Thailand
12.17;7.16;62;Kasar;Gajah
16.63;7.17;83;Halus;Kasetsart
12.85;6.68;91;Kasar;Gajah
12.25;4.45;81;Halus;Kasetsart
14.34;8.18;82;Halus;Gajah
11.13;5.6;61;Halus;Thailand
16.42;4.93;86;Kasar;Gajah
10.6;4.2;61;Kasar;Gajah
17.9;6.95;85;Halus;Kasetsart
16.18;7.39;76;Kasar;Kasetsart
11.59;4.08;92;Halus;Kasetsart
10.04;6.56;68;Halus;Gajah
16.52;5.13;88;Halus;Thailand
15.65;7.23;85;Halus;Kasetsart
15.83;4.87;94;Halus;Kasetsart
16.17;7.45;84;Halus;Gajah
10.59;5.93;83;Halus;Kasetsart
12.87;8.68;72;Halus;Thailand
10.93;4.69;66;Halus;Thailand
16.9;5.71;79;Halus;Kasetsart
14.99;4.57;60;Halus;Kasetsart
12.65;8.62;67;Halus;Gajah
10.51;8.39;75;Halus;Thailand
12.49;5.29;73;Halus;Thailand
12.6;7.3;71;Halus;Kasetsart
15.84;8.09;82;Halus;Gajah
15.1;6.78;74;Kasar;Thailand
17.1;6.65;87;Halus;Thailand
13.78;5.21;93;Halus;Gajah
10.96;4.47;61;Kasar;Gajah
15.71;8.49;91;Halus;Thailand
16.09;8.5;82;Halus;Thailand
14.49;7.17;81;Halus;Gajah
16.17;5.7;84;Halus;Thailand
13.95;5.75;81;Kasar;Kasetsart
14.18;7.63;81;Halus;Kasetsart
13.42;8.49;65;Halus;Gajah
10.2;8.44;74;Halus;Gajah
10.86;7.9;92;Kasar;Gajah
