Panjang_Daun;Lebar_Daun;Warna_Hijau;Tekstur;Spesies
13.0;4.16;83;Kasar;Kasetsart
17.61;7.18;70;Halus;Kasetsart
15.86;5.57;67;Kasar;Thailand
14.79;6.54;79;Halus;Kasetsart
11.25;8.54;94;Kasar;Thailand
11.25;5.25;84;Halus;Kasetsart
10.46;6.05;94;Halus;Thailand
16.93;7.78;84;Halus;Kasetsart
14.81;5.14;88;Halus;Gajah
15.66;4.38;77;Halus;Kasetsart
10.16;5.45;77;Kasar;Kasetsart
17.76;4.81;61;Kasar;Gajah
16.66;8.65;94;Halus;Kasetsart
11.7;8.04;75;Halus;Gajah
11.45;7.17;92;Halus;Kasetsart
11.47;8.36;63;Kasar;Thailand
12.43;8.02;92;Halus;Thailand
14.2;4.93;73;Halus;Kasetsart
13.46;8.46;80;Halus;Kasetsart
12.33;6.7;79;Halus;Kasetsart
14.89;8.04;67;Halus;Thailand
11.12;8.48;66;Halus;Kasetsart
12.34;5.59;62;Kasar;Thailand
12.93;4.55;76;Halus;Gajah
13.65;5.14;92;Halus;Thailand
16.28;6.14;71;Halus;Thailand
11.6;8.09;81;Halus;Gajah
14.11;8.3;81;Kasar;Thailand
14.74;4.03;89;Halus;Kasetsart
10.37;6.55;67;Halus;Kasetsart
14.86;6.09;86;Halus;Thailand
11.36;5.11;86;Halus;Kasetsart
10.52;4.6;93;Kasar;Thailand
17.59;5.69;80;Halus;Kasetsart
17.73;8.71;89;Halus;Kasetsart
16.47;5.62;92;Halus;Thailand
12.44;6.59;87;Halus;Kasetsart
10.78;7.52;92;Halus;Thailand
15.47;5.82;64;Halus;Kasetsart
13.52;8.86;78;Halus;Kasetsart
10.98;8.81;63;Halus;Gajah
13.96;5.26;94;Kasar;Gajah
10.28;6.49;76;Halus;Thailand
17.27;5.5;87;Halus;Gajah
12.07;5.42;89;Kasar;Thailand
15.3;4.18;88;Kasar;Gajah
12.49;7.05;65;Halus;Kasetsart
14.16;6.51;94;Halus;Thailand
14.37;4.26;83;Halus;Thailand
